"Years: 1988 - 2024"
"1687 Projects Found"
"Project Number",URL,Title,"SARE Funds",Region,"Project Type",State,"Project Year","Grant Recipient Organization"
GNC18-254,https://projects.sare.org/sare_project/GNC18-254,"Predation, Herbivory, and Farmer Profitability and Sustainability in Response to Inter Seeded Covercrops in Standing Corn for Agroecosystem Diversification","11,906.00","North Central","Graduate Student",SD,2018,"South Dakota State University"
FW22-388,https://projects.sare.org/sare_project/FW22-388,"Implementing Whole Farm Cycling of Nutrients and Carbon with Orchard Waste in Walnut & Cherry Production in Central Valley CA","24,961.00",Western,Farmer/Rancher,CA,2022,"John Eilers Farms"
ENE11-120,https://projects.sare.org/sare_project/ENE11-120,"Soil Management in Berry Crops as a Model for Management Education","78,534.00",Northeast,"Professional Development Program",NY,2011,
FNC21-1294,https://projects.sare.org/sare_project/FNC21-1294,"Implementing Organic practices in Modern Apple Growing","8,945.00","North Central",Farmer/Rancher,WI,2021,"River Falls Research Orchard"
ONC23-119,https://projects.sare.org/sare_project/ONC23-119,"On-Farm Testing of Johnson-Su Compost Extract as a Biological Inoculant in Wheat and Soybeans","49,846.00","North Central","On Farm Research/Partnership",MN,2023,"MN Wheat Research and Promotion Council"
FNC20-1221,https://projects.sare.org/sare_project/FNC20-1221,"Exploring the use of compost & biochar as both soil amendments and as heat sources to extend the growing season inside high-tunnels on the Pine Ridge","27,000.00","North Central",Farmer/Rancher,SD,2020,"Rebel Earth Farms"
SW17-050,https://projects.sare.org/sare_project/SW17-050,"Assessing and Sharing Breadfruit Management Practices","220,811.00",Western,"Research and Education",HI,2017,"University of Hawai'i at Manoa"
ONC18-041,https://projects.sare.org/sare_project/ONC18-041,"Supporting Grape IPM Implementation in Ohio Vineyards Using the Network for Environment and Weather Applications (NEWA)","29,523.00","North Central","On Farm Research/Partnership",OH,2018,"The Ohio State University-Wooster Campus"
GNE20-239,https://projects.sare.org/sare_project/GNE20-239,"Bacteriocin Repertoires in Pseudomonas syringae pv. Tomato","15,000.00",Northeast,"Graduate Student",PA,2020,"The Pennsylvania State University"
FNE23-036,https://projects.sare.org/sare_project/FNE23-036,"Evaluating On Farm Leaf Composting Methods and the Impacts of Composted Leaves on Germination and Weed Suppression in Rye, Corn and Pumpkins","24,916.00",Northeast,Farmer/Rancher,NJ,2023,"Longmeadow Farm"
FW20-370,https://projects.sare.org/sare_project/FW20-370,"Establishing ""Bush Tucker"" in Hawaii","22,870.00",Western,Farmer/Rancher,HI,2020,"Hawaii Tropical Fruit Growers"
GNE19-199,https://projects.sare.org/sare_project/GNE19-199,"Development of Microbial Communities to Suppress Tomato Foliar Pathogens","15,000.00",Northeast,"Graduate Student",PA,2019,"The Pennsylvania State University"
LNC19-427,https://projects.sare.org/sare_project/LNC19-427,"Promoting manure composting for livestock operations","50,000.00","North Central","Research and Education",MN,2019,"University of Minnesota Extension"
FNE14-791,https://projects.sare.org/sare_project/FNE14-791,"Using invasive Eurasian milfoil as an organic soil amendment: Effect on tomato yield","6,697.00",Northeast,Farmer/Rancher,NY,2014,
LNE03-182,https://projects.sare.org/sare_project/LNE03-182,"Determining the commercial viability of an exclusionary production system using disease-resistant columnar apple and sweet cherry cultivars","137,169.00",Northeast,"Research and Education",NY,2003,
LNE19-374,https://projects.sare.org/sare_project/LNE19-374,"Nutrient and Weed Management Strategies for Organic Wild Blueberry Growers","199,828.00",Northeast,"Research and Education",ME,2019,"University of Maine Extension"
FNC18-1121,https://projects.sare.org/sare_project/FNC18-1121,"Expanding the Understanding and Adoption of Composting Bedded Pack Manure to Reduce Manure Applications on Frozen and Snow Covered Fields around the Yahara Watershed","22,500.00","North Central",Farmer/Rancher,WI,2018,"Endres Berryridge Farms, LLC "
FNE00-292,https://projects.sare.org/sare_project/FNE00-292,"Biological control of tomato foliar diseases","1,320.00",Northeast,Farmer/Rancher,MA,2000,
GS13-123,https://projects.sare.org/sare_project/GS13-123,"Ground cover and organic nutrient management practices altering the denitrifier community in an organic apple orchard soil","11,000.00",Southern,"Graduate Student",AR,2013,"University of Arkansas"
LNC03-228,https://projects.sare.org/sare_project/LNC03-228,"New Strategies for Management of Vegetable Diseases in Organic and Traditional Farms","99,289.00","North Central","Research and Education",IL,2003,
FNC19-1154,https://projects.sare.org/sare_project/FNC19-1154,"Susceptibility of cider apple varieties to foliar-feeding insects","8,818.00","North Central",Farmer/Rancher,WI,2019,"University of Minnesota - Twin Cities"
FNC19-1201,https://projects.sare.org/sare_project/FNC19-1201,"Using Micro-Nutrients to Control Shattering of La Crescent Grapes (Cold-Climate)","8,790.00","North Central",Farmer/Rancher,WI,2019,"Danzinger Vineyards"
LNE20-413R,https://projects.sare.org/sare_project/LNE20-413R,"Attract-and-Kill Strategies for Sustainable Striped Cucumber Beetle Management","180,315.00",Northeast,"Research Only",NH,2020,"UNH Cooperative Extension, University of Vermont, USDA-ARS"
GW22-239,https://projects.sare.org/sare_project/GW22-239,"Testing thiamin as an immunity inducer against bacterial and fungal pathogens in potato","29,836.00",Western,"Graduate Student",OR,2022,"Oregon State University"
FNC21-1280,https://projects.sare.org/sare_project/FNC21-1280,"Hot Box Compost: Modular Composting System that Heats, Waters, and Fertilizes Grow Bed for Off-Season Production","13,747.00","North Central",Farmer/Rancher,WI,2021,"Low Technology Institute"
LNE93-036,https://projects.sare.org/sare_project/LNE93-036,"Ecological Management of Potato Cropping Systems (ANE93.018)","11,870.00",Northeast,"Research and Education",ME,1993,
FNC22-1325,https://projects.sare.org/sare_project/FNC22-1325,"Evaluate the Efficiency of Raising Pastured Egg Layers in a Compost Heated Hoophouse Over Winter and Their Influence on Compost Quality","9,716.00","North Central",Farmer/Rancher,MN,2022,"Sleepy Bison Acres"
FNE17-867,https://projects.sare.org/sare_project/FNE17-867,"Residual doramectin in alpaca manure compost","14,521.00",Northeast,Farmer/Rancher,NY,2017,"Faraway Farm Alpacas"
ONE22-427,https://projects.sare.org/sare_project/ONE22-427,"Compost Exhaust to Provide Nutrients for Plants in Biofilter and Heat for Greenhouse","29,999.00",Northeast,"On Farm Research/Partnership",NY,2022,"AdkAction Compost for Good"
FW22-405,https://projects.sare.org/sare_project/FW22-405,"No/low-till practices as a water conservation tool on small-scale vegetable farms East of the Cascades","29,896.00",Western,Farmer/Rancher,OR,2022,"Sweet Union Farm, LLC"
GNC19-288,https://projects.sare.org/sare_project/GNC19-288,"Development of Breeding Lines and Molecular Tools for Selection of Grapevines with Altered Canopy Dynamics via Dissected Foliar Morphology","14,951.00","North Central","Graduate Student",ND,2019,"North Dakota State University"
FNC04-517,https://projects.sare.org/sare_project/FNC04-517,"Benefits - Evaluation of the Application of Compost Tea in Growing Organic Vegetables","5,297.00","North Central",Farmer/Rancher,IN,2004,
FNC17-1087,https://projects.sare.org/sare_project/FNC17-1087,"Growing Organic Blueberries Using Biochar","7,500.00","North Central",Farmer/Rancher,MO,2017,"Sacred Earth Arts"
FW20-371,https://projects.sare.org/sare_project/FW20-371,"The Application of using High-Fungal Compost to Renovate Mountain Meadow Pastures","20,000.00",Western,Farmer/Rancher,CO,2020,"Oswald Cattle Co"
FNC93-045,https://projects.sare.org/sare_project/FNC93-045,"Comparing Composted and Raw Manure in Crop Production","1,600.00","North Central",Farmer/Rancher,MN,1993,
LNE03-179,https://projects.sare.org/sare_project/LNE03-179,"On-farm production of mycorrhizal fungus inocula","129,849.00",Northeast,"Research and Education",PA,2003,
FW10-056,https://projects.sare.org/sare_project/FW10-056,"Use of Cover Crops with Medicinal Herbs in North Hawaii","20,117.00",Western,Farmer/Rancher,HI,2010,
LS95-071,https://projects.sare.org/sare_project/LS95-071,"Developing Municipal/On-Farm Linkages for On-Farm Composting and Utilization of Yard Wastes:  A Regional Resource Issue Project","69,167.00",Southern,"Research and Education",VA,1995,
FW09-049,https://projects.sare.org/sare_project/FW09-049,"Organic Weed Control in Perennial Navajo Tea Greenthread","15,000.00",Western,Farmer/Rancher,NM,2009,
FNC13-923,https://projects.sare.org/sare_project/FNC13-923,"Renovation and Ecological Management of Neglected Apple Orchards in Southeast Michigan","7,465.62","North Central",Farmer/Rancher,MI,2013,
WSP20-004,https://projects.sare.org/sare_project/WSP20-004,"2021 Montana Professional Development Mini-Grant Program","28,636.00",Western,"PDP State Program",MT,2020,"Montana State University Extension Service"
FNC15-991,https://projects.sare.org/sare_project/FNC15-991,"Evaluating the Environmental Benefits and Economic Opportunities of In-Vessel Composting Solid Dairy Manure","22,500.00","North Central",Farmer/Rancher,WI,2015,
LS03-152,https://projects.sare.org/sare_project/LS03-152,"Improving Organic Crop Production with Enhanced Biofumigation and Composting Systems","273,440.00",Southern,"Research and Education",TN,2003,
FNE15-832,https://projects.sare.org/sare_project/FNE15-832,"Exploring dryland rice production in the mid-Atlantic","11,405.00",Northeast,Farmer/Rancher,MD,2015,
FS01-132,https://projects.sare.org/sare_project/FS01-132,"Ginsing Production Utilizing Natural Fungicides","9,986.00",Southern,Farmer/Rancher,NC,2001,
FNC07-690,https://projects.sare.org/sare_project/FNC07-690,"On-Farm Composting: Economics and Effects on Vegetable Produce Yield, Cut Flower Quality, and Soil Physical and Chemical Properties.","5,962.00","North Central",Farmer/Rancher,MO,2007,
FW19-341,https://projects.sare.org/sare_project/FW19-341,"The Citizen Science Soil Health Project","24,800.00",Western,Farmer/Rancher,CO,2019,"Your Neighborhood Christmas Tree Farm"
SW21-923,https://projects.sare.org/sare_project/SW21-923,"Developing sustainable strategies for nutrient and pest management on small-acreage strawberry farms","349,736.00",Western,"Research and Education",UT,2021,"Utah State University"
FNE12-752,https://projects.sare.org/sare_project/FNE12-752,"Alternative honey bee nutrition: Beyond sugar syrup","14,888.00",Northeast,Farmer/Rancher,PA,2012,
GNE13-064,https://projects.sare.org/sare_project/GNE13-064,"Optimization of adventitious rooting of hazelnut stem cuttings to expedite on-farm commercialization trials","8,376.00",Northeast,"Graduate Student",NJ,2013,"Rutgers University"
GS13-120,https://projects.sare.org/sare_project/GS13-120,"Management of Mexican Bean Beetle, Epilachna varivestis Mulsant, in Snap Beans Using Cultural Control Strategies","10,622.00",Southern,"Graduate Student",VA,2013,"Virginia Tech"
GS14-131,https://projects.sare.org/sare_project/GS14-131,"Making Pest Management More Sustainable in Cucurbit Production","10,922.00",Southern,"Graduate Student",VA,2014,"Virginia Tech"
FNC17-1076,https://projects.sare.org/sare_project/FNC17-1076,"Evaluation and Comparison of Paper Pot Transplanter to Other Hand Transplanting Methods in No-dig beds and Cover Crop Residue","7,492.00","North Central",Farmer/Rancher,KS,2017,"Serenity Farm"
FW02-038,https://projects.sare.org/sare_project/FW02-038,"On-farm composting for residue managementin Spokane County, WA","14,992.00",Western,Farmer/Rancher,WA,2002,
LNE15-344R,https://projects.sare.org/sare_project/LNE15-344R,"UNH organic dairy farm agroecosystem study, phase III: A closed system, energy independent organic dairy farm for the Northeastern U.S.","389,118.00",Northeast,"Research Only",NH,2015,"University of New Hampshire"
FNC01-354,https://projects.sare.org/sare_project/FNC01-354,"The Value of Value Added Products from Farm to Farm Market","4,858.00","North Central",Farmer/Rancher,SD,2001,
GS00-006,https://projects.sare.org/sare_project/GS00-006,"Evaluation of Cover Crops and Conservation Tillage for Conventional and Organic Sweetpotato (Ipomoea batatas) Production in North Carolina","9,927.00",Southern,"Graduate Student",NC,2000,
FW08-322,https://projects.sare.org/sare_project/FW08-322,"A Multi-Faceted Approach to Managing Powdery Mildew on Organic Table Grapes in Southwest Idaho","15,000.00",Western,Farmer/Rancher,ID,2008,
GW22-244,https://projects.sare.org/sare_project/GW22-244,"Evaluating the Impact of Wheat Straw Amendments on Dryland Organic Wheat Systems","29,995.00",Western,"Graduate Student",UT,2022,"Utah State University"
FNC04-536,https://projects.sare.org/sare_project/FNC04-536,"Use of Worm Casting Extract in Ag Production","4,048.00","North Central",Farmer/Rancher,IL,2004,
GS23-288,https://projects.sare.org/sare_project/GS23-288,"Ambrosia Beetles and Phytophthora cinnamomi Management Using Plant Defense Elicitors Under Flood Stress Condition","16,500.00",Southern,"Graduate Student",TN,2023,"Tennessee State University"
EW99-013,https://projects.sare.org/sare_project/EW99-013,"A Community Based Approach to Extension In Organic Agriculture","10,000.00",Western,"Professional Development Program",ID,1999,
ONE03-016,https://projects.sare.org/sare_project/ONE03-016,"Ratcheting up commercial organic high-bush blueberry production systems","9,380.00",Northeast,"On Farm Research/Partnership",NJ,2003,
FW22-399,https://projects.sare.org/sare_project/FW22-399,"Optimizing Monitoring and Biostimulant Practices for Sustainability in Orchards Contaminated by Herbicide Drift","24,974.00",Western,Farmer/Rancher,NM,2022,"JAL Farms"
LNE96-071,https://projects.sare.org/sare_project/LNE96-071,"Compost Laboratory Education Project","51,650.00",Northeast,"Research and Education",ME,1996,
